res_id,name,url,address,city,locality,cuisines,timings,highlights,aggregate_rating,votes,average_cost_for_one
1401179,Hotel Kanchan,https://www.zomato.com/indore/hotel-kanchan-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12/2, Dr. S.P Marg, Kanchan Bagh, South Tukoganj, Indore",Indore,South Tukoganj,"North Indian, Chinese",11 AM to 11:30 PM (Mon-Sun),"['Cash', 'Debit Card', 'Takeaway Available', 'Lunch', 'Credit Card', 'Delivery', 'Dinner', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Fullbar']",3.8,95,600
1400122,The Arch - Golden Gate,https://www.zomato.com/indore/the-arch-golden-gate-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Golden Gate,  5 AF, 1st Floor, Scheme 54, Vijay Nagar, Indore",Indore,"Golden Gate, Vijay Nagar","North Indian, Chinese","12 Noon to 3:30 PM, 7 PM to 11 PM","['Credit Card', 'Takeaway Available', 'Lunch', 'Debit Card', 'Delivery', 'Dinner', 'Cash', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Fullbar']",3.4,71,600
1400561,60 ML,https://www.zomato.com/indore/60-ml-annapurna-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"86, Mishra Nagar, Annapurna Road, Indore",Indore,Annapurna Road,North Indian,11am – 1:30am (Mon-Sun),"['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Nightlife', 'Indoor Seating', 'Fullbar', 'Air Conditioned', 'Smoking Area']",3.7,50,600
1402322,Exotica The Lounge Bar - Crescent Spa & Resorts,https://www.zomato.com/indore/exotica-the-lounge-bar-crescent-spa-resorts-by-pass-road-south?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Gram Jamniya, Dev Guradiya Temple, Kampell Road, By Pass Road (South), Indore",Indore,Crescent Spa & Resorts,"Finger Food, Continental",11 AM to 11 PM,"['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Wheelchair Accessible', 'Wifi', 'Live Sports Screening', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']",3.5,58,600
1402970,District 11,https://www.zomato.com/indore/district-11-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Malhar Mega Mall, Vijay Nagar",Indore,"Malhar Mega Mall, Vijay Nagar","North Indian, Italian, Mexican",11 AM to 12 Midnight,"['Delivery', 'Serves Alcohol', 'Debit Card', 'Lunch', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Mall Parking', 'Fullbar', 'Table booking recommended', 'Nightlife', 'Smoking Area', 'Dance Floor', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",3.4,49,600
1402324,Shack Pool Bar & Grill - Crescent Spa & Resorts,https://www.zomato.com/indore/shack-pool-bar-grill-crescent-spa-resorts-by-pass-road-south?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Gram Jamniya, Dev Guradiya Temple, Kampell Road, By Pass Road (South), Indore",Indore,Crescent Spa & Resorts,"North Indian, Italian, Finger Food",7 PM to 12:30 AM,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Credit Card', 'Live Sports Screening', 'Valet Parking Available', 'Poolside', 'Indoor Seating', 'Table booking recommended', 'Wheelchair Accessible', 'Nightlife', 'Fullbar', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Wifi']",3.7,34,600
1400288,The Lounge Bar - Hotel Amar Vilas,https://www.zomato.com/indore/the-lounge-bar-hotel-amar-vilas-press-complex?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Amar Vilas, 1, Chandra Nagar, A.B. Road, Press Complex, Indore",Indore,"Hotel Amar Vilas, Press Complex","North Indian, Chinese",11 AM to 11 PM (Mon-Sun),"['Delivery', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Table booking recommended', 'Fullbar', 'Air Conditioned']",3.6,42,600
18889339,The Tipsy Buffalo,https://www.zomato.com/indore/the-tipsy-buffalo-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Royal Garha Golf Club, Golf Greens Golf Course, Kanadia Main Road, By Pass Road (North), Indore",Indore,By Pass Road (North),"Finger Food, North Indian",11 AM to 11 PM,"['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area']",3.5,14,600
1402500,Sundown - Solaris Club,https://www.zomato.com/indore/sundown-solaris-club-bhawar-kuan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Rajeev Gandhi Square, A.B. Road, Bhawar Kuan, Indore",Indore,Bhawar Kuan,"North Indian, Chinese",11 AM to 3 AM,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Free Parking', 'Outdoor Seating', 'Table Reservation Not Required', 'Fullbar', 'Indoor Seating']",3.3,27,600
18741995,O2 Club & Lounge,https://www.zomato.com/indore/o2-club-lounge-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Best Western, 31/1 Main Road, South Tukoganj, Indore",Indore,South Tukoganj,"Chinese, North Indian, Continental","11am – 11pm (Mon, Tue, Wed, Thu, Fri, Sun), 11am – 2am (Sat)","['Dinner', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'DJ', 'Nightlife', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Dance Floor', 'Fullbar', 'Serves Cocktails', 'Table booking recommended']",3.7,24,600
